INCIDENT_ID,DATA_YEAR,STATE_ABBR,SUM_VICTIM_COUNT,latitude,longitude,STATE_NAME
28706,2015,NH,15,43.193852,-71.572395,New Hampshire
28707,2015,NJ,349,40.058324,-74.405661,New Jersey
28708,2015,NM,14,34.97273,-105.032363,New Mexico
28709,2015,NV,74,38.80261,-116.419389,Nevada
28710,2015,NY,519,43.299428,-74.217933,New York
28711,2015,OH,482,40.417287,-82.907123,Ohio
28712,2015,OK,55,35.007752,-97.092877,Oklahoma
28713,2015,OR,102,43.804133,-120.554201,Oregon
28714,2015,PA,70,41.203322,-77.194525,Pennsylvania
28715,2015,RI,19,41.580095,-71.477429,Rhode Island
28716,2015,SC,74,33.836081,-81.163725,South Carolina
28717,2015,SD,22,43.969515,-99.901813,South Dakota
28718,2015,TN,307,35.517491,-86.580447,Tennessee
28719,2015,TX,223,31.968599,-99.901813,Texas
28720,2015,UT,61,39.32098,-111.093731,Utah
28721,2015,VA,195,37.431573,-78.656894,Virginia
28722,2015,VT,9,44.558803,-72.577841,Vermont
28723,2015,WA,356,47.751074,-120.740139,Washington
28724,2015,WI,51,43.78444,-88.787868,Wisconsin
28725,2015,WV,51,38.597626,-80.454903,West Virginia
28726,2015,WY,2,43.075968,-107.290284,Wyoming
28727,2014,AK,9,63.588753,-154.493062,Alaska
28728,2014,AL,10,32.318231,-86.902298,Alabama
28729,2014,AR,19,35.20105,-91.831833,Arkansas
28730,2014,AZ,325,34.048928,-111.093731,Arizona
28731,2014,CA,980,36.778261,-119.417932,California
28732,2014,CO,128,39.550051,-105.782067,Colorado
28733,2014,CT,153,41.603221,-73.087749,Connecticut
28734,2014,DC,89,38.905985,-77.033418,District of Columbia
28735,2014,DE,18,38.910832,-75.52767,Delaware
28736,2014,FL,73,27.664827,-81.515754,Florida
28737,2014,GA,50,32.157435,-82.907123,Georgia
28738,2014,IA,15,41.878003,-93.097702,Iowa
28739,2014,ID,41,44.068202,-114.742041,Idaho
28740,2014,IL,146,40.633125,-89.398528,Illinois
28741,2014,IN,61,40.551217,-85.602364,Indiana
28742,2014,KS,90,39.011902,-98.484246,Kansas
28743,2014,KY,225,37.839333,-84.270018,Kentucky
28744,2014,LA,11,31.244823,-92.145024,Louisiana
28745,2014,MA,435,42.407211,-71.382437,Massachusetts
28746,2014,MD,18,39.045755,-76.641271,Maryland
28747,2014,ME,35,45.253783,-69.445469,Maine
28748,2014,MI,396,44.314844,-85.602364,Michigan
28749,2014,MN,120,46.729553,-94.6859,Minnesota
28750,2014,MO,111,37.964253,-91.831833,Missouri
28751,2014,MS,2,32.354668,-89.398528,Mississippi
28752,2014,MT,56,46.879682,-110.362566,Montana
28753,2014,NE,62,41.492537,-99.901813,Nebraska
28754,2014,NC,201,35.759573,-79.0193,North Carolina
28755,2014,ND,54,47.551493,-101.002012,North Dakota
28756,2014,NH,23,43.193852,-71.572395,New Hampshire
28757,2014,NJ,347,40.058324,-74.405661,New Jersey
28758,2014,NM,13,34.97273,-105.032363,New Mexico
28759,2014,NV,30,38.80261,-116.419389,Nevada
28760,2014,NY,560,43.299428,-74.217933,New York
28761,2014,OH,527,40.417287,-82.907123,Ohio
28762,2014,OK,36,35.007752,-97.092877,Oklahoma
28763,2014,OR,83,43.804133,-120.554201,Oregon
28764,2014,PA,71,41.203322,-77.194525,Pennsylvania
